exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
41	priyome	public-education	r1bq1rk1/pp2b1np/n2p2pB/2pPpp2/2P1P3/2N3P1/PP1QNPBP/R4RK1 w - - 0 1	white	f4 Nc7 Rae1	f2f4 a6c7 a1e1	12.f4! The way to increase the pressure. Black doesn’t want to capture on either e4 or f4 since it would help White’s knights forward. However, the exf5 and especially fxe5 exchanges tend to be good moves for White. Another important factor is that Black’s knight on a6 is misplaced. In this Czech Benoni set-up, it would have wanted to chase away White’s bishop with ...Nb8-d7-f6-g8. Remember this manoeuvre, as there will be no further reminders in this book. I initially wanted to include an exercise with the knight manoeuvre, but it was eventually discarded since Black’s position was too bad. By the way, White could have made some other move and followed up with f2-f4, but the sooner the better. 12...Nc7 12...Bf6 defends e5, but the bishop will be less effective than a knight on the central square, because it will be vulnerable to knight threats. There are many good continuations, 13.Rae1 Nc7 14.fxe5 Bxe5 15.Nf4 being one example. 13.exf5 13.Rae1 was the game, where Black eventually escaped with a draw. 13...gxf5 13...Bxf5 14.fxe5 gives Black an isolated pawn. White continues with h2-h3 and g3-g4, then puts a knight on e4. 14.g4! This is not forced, but it’s both strong and instructive. 14...fxg4 15.fxe5 dxe5 16.Rxf8+ Bxf8 17.Ng3+– White’s pieces will smoothly join the attack.	Georgadse	Petrosian	Tbilisi	1945	Georgadse – Petrosian, Tbilisi 1945	55	55
42	priyome	public-education	r1bqkb1r/ppn2ppp/2n5/2p1p3/8/2NPB1P1/PP2PPBP/R2QK1NR w KQkq - 0 1	white	Bxc6+ bxc6 Qa4 Ne6	g2c6 b7c6 d1a4 c7e6	8.Bxc6+! bxc6 9.Qa4 Black does not have an effective way to open lines for the bishop pair. Smyslov won convincingly, and exchanging on c6 has since been a standard device in such positions. In the game Black became passive, but strong players nowadays would consider 9...Ne6!?², offering the c6-pawn in the hope of gaining some initiative.	Smyslov	Lilienthal	Budapest	1950	Smyslov – Lilienthal, Budapest 1950	56	56
43	priyome	public-education	2r1kb1r/1b1n1ppp/pq1p1n2/4pPB1/4P3/P1N5/1PPNQ1PP/2KR3R b k - 0 1	black	Rxc3 bxc3 d5 Nb1 dxe4 Rd5	c8c3 b2c3 d6d5 d2b1 d5e4 d1d5	14...Rxc3 15.bxc3 d5 The exchange sacrifice is so standard that you hardly need to consider what to play next, until the opponent has executed the only move. 16.Nb1 dxe4!³ This improves on the game continuation of 16...Nxe4 17.Rxd5!, when Black’s best is to take on b1 and remove the queens, leading to approximate equality. Instead Petrosian took on g5 and stood worse, though he eventually won.	Szabo	Petrosian	Saltsjobaden	1952	Szabo – Petrosian, Saltsjobaden 1952	57	57
44	priyome	public-education	2rqrnk1/pp3b1p/2p2bp1/3pB3/3P2P1/2NBPP2/PP5Q/4RR1K w - - 0 1	white	f4 Bxe5 dxe5	f3f4 f6e5 d4e5	23.f4! Bolstering the bishop on e5 to keep the e-file closed. 23.Bxf6 Qxf6² 23...Bxe5 24.dxe5!± Keeping the f-pawn to threaten Black’s king.	Petrosian	Vaitonis	Saltsjobaden	1952	Petrosian – Vaitonis, Saltsjobaden 1952	57	57
45	priyome	public-education	r1bqr1k1/3n1pbp/p2p1np1/1ppP4/P3P3/2NB1N1P/1PQ2PP1/R1B1R1K1 b - - 0 1	black	c4 Bf1 b4 Nb1 Nc5 Qxc4 a5 Nbd2 Ba6 Qc2 Bxf1 Kxf1 Rc8 Qb1 Qb6	c5c4 d3f1 b5b4 c3b1 d7c5 c2c4 a6a5 b1d2 c8a6 c4c2 a6f1 g1f1 a8c8 c2b1 d8b6	13...c4! Black should play actively in the Benoni, and Petrosian took the opportunity in this training game. 14.Bf1 b4 15.Nb1 Nc5! 16.Qxc4 a5! 16...Nfxe4 was Petrosian’s choice, which gave him a pleasant game but nothing more. If White captures the b4-pawn, Black’s active pieces will offer more than enough compensation. The text move is even better than the game continuation. Black’s initiative is developing with the speed of a carbon bike, for instance: 17.Nbd2 Ba6 18.Qc2 Bxf1 19.Kxf1 Rc8 20.Qb1 Qb6–+	Taimanov	Petrosian	Gagra (Training)	1953	Taimanov – Petrosian, Gagra (Training) 1953	58	58
46	priyome	public-education	r1q1nrk1/p4ppp/bpnpp3/2p5/Q1PPP3/P1PBB3/4NPPP/3R1RK1 b - - 0 1	black	Na5 dxc5 Bxc4	c6a5 d4c5 a6c4	13...Na5 Threatening the weak c4-pawn. 14.dxc5 There are two other ways to defend the pawn, the passive 14.Rc1 and 14.d5. However, neither of these will work well, as Black exchanges queens with either ...Nc7 or ...Nf6 followed by ...Qe8 (or ...Qd7). White would like to attack and leave the weak pawn to its fate, but after something like 14.f4 cxd4 15.cxd4 Bxc4–+ it becomes clear that the queen’s placement on a4 is completely incompatible with a kingside attack. 14...dxc5 A move ago White had a nice-looking pawn centre. Now White’s structure looks ugly, and Black went on to win.	Geller	Smyslov	Zurich	1953	Geller – Smyslov, Zurich 1953	59	59
47	priyome	public-education	r2qk2r/1b1n1ppp/p3pb2/2p5/3P4/1Bp2N2/PP2QPPP/R1BR2K1 w kq - 0 1	white	d5 cxb2 Bxb2 Kf8 Qc4 Qe7 dxe6	d4d5 c3b2 c1b2 e8f8 e2c4 d8e7 d5e6	14.d5! An obvious move which hardly requires any serious calculations. 14...cxb2 14...e5 15.bxc3+– was the game. 15.Bxb2 A good alternative is: 15.dxe6!? bxa1=Q? 16.exd7+ Kf8 17.Qc4 The only move, but easily good enough since 17...Qe7 18.d8=Q+ leads to a quick mate. The above variation featured a rare case on move 15 where Black’s best option would have been to underpromote to a knight without having a check or fork in mind. Even in that case, Black is still losing. 15...Bxb2 16.dxe6! This is strongest, although the straightforward 16.Qxb2 is also clearly better for White.	Smyslov	Keres	Zurich	1953	Smyslov – Keres, Zurich 1953	59	59
48	priyome	public-education	r1b1r1k1/1pp2pb1/3p1qpp/p1nPp3/2P1P3/P1N3P1/1P3PBP/R2QNRK1 b - - 0 1	black	a4	a5a4	13...a4! Freezing White’s ambitions on the queenside. (Stahlberg’s last move 13.a3? wasn’t clever.)	Stahlberg	Petrosian	Zurich	1953	Stahlberg – Petrosian, Zurich 1953	60	60
49	priyome	public-education	r2qnrk1/pp3pbp/2n1p1p1/3pP3/3P4/4BBPP/PP3P2/RN1Q1RK1 b - - 0 1	black	f6 Bg4 fxe5 f4	f7f6 f3g4 f6e5 f2f4	13...f6! Activating the rook, bishop and knight. 14.Bg4 14.exf6 Qxf6µ 14...fxe5! Not 14...Qe7?! 15.f4 when White consolidates. 15.dxe5 d4µ Black is active. Mikhail Botvinnik “When my opponent’s clock is going, I discuss general considerations in an internal dialogue with myself. When my own clock is going, I analyse concrete variations.”	Smyslov	Botvinnik	Moscow (17)	1954	Smyslov – Botvinnik, Moscow (17) 1954	61	61
50	priyome	public-education	1r1q1rk1/2pb1pb1/1p1p1np1/pNnPp1B1/P1P1P2p/1P4P1/2Q1NPBP/4RRK1 b - - 0 1	black	h3 Bh1 Qc8	h4h3 g2h1 d8c8	18...h3! The pawn was threatened and 18...hxg3? would have been a losing mistake due to 19.fxg3! with a deadly pin. 19.Bh1 Qc8!= Stepping out of the pin before it becomes a problem. In November, there was a USSR Championship in Moscow. Open championship, perhaps the last one – I don’t know. On 9th November, I played there and made my draw, and Alexei Shirov from Riga won brilliantly, came to me and said, “I’m glad that it was today, 9th November (Tal’s birthday), that I played so good. I dedicate this game to you.” Very moving. – Mikhail Tal	Botvinnik	Smyslov	Moscow (18)	1954	Botvinnik – Smyslov, Moscow (18) 1954	62	62
51	priyome	public-education	r3k2r/1pqbbpp1/p1npp2p/8/4PP1P/1NN4R/PPP2QP1/2KR1B2 b kq - 0 1	black	b5 g4 h5 Na4 Bd8 Nc3 b4 Ne2 a5	b7b5 g2g4 h6h5 c3a4 e7d8 a4c3 b5b4 c3e2 a6a5	14...b5!³ Black should delay castling to speed up the attack. Smyslov played 14...0-0-0?! when Black’s king will be slightly weak for a long time. 14...0-0 15.g4 is dangerous for Black. 14...h5 invests a tempo to stop White’s g-pawn before going ...b7-b5. But White can disrupt Black’s plan with 15.Na4!? Bd8 16.Nc3!, when it’s hard for Black to find a better idea than repeating the position, since 16...b5? 17.Bxb5± favours White. 15.g4 White should try something else, but Black stands better anyway. 15...b4 16.Ne2 a5µ Black is clearly ahead in the race.	Vesterinen	Smyslov	Amsterdam (Ol)	1954	Vesterinen – Smyslov, Amsterdam (Ol) 1954	64	64
52	priyome	public-education	2rq1rk1/pp1bppb1/3p2p1/4n2n/3NP2P/2N1BP2/PPPQ4/1K1R1BR1 b - - 0 1	black	Rxc3 f4 Nc4 Bxc4 Rxc4 f5 Qc7 Bh6 Bxh6 Qxh6 Qb6 Ka1 Qa5 Qxh5 Be6 Nb3 Qc3 Kb1	c8c3 f3f4 e5c4 f1c4 c3c4 f4f5 d8c7 e3h6 g7h6 d2h6 c7b6 b1a1 b6a5 h6h5 d7e6 d4b3 a5c3 a1b1	15...Rxc3! 15...e6? was not a move in Dragon style. The game was subsequently drawn after further mutual errors, but at this point 16.f4 Nc4 17.Bxc4 Rxc4 18.f5+– was a straightforward path to a decisive advantage for White. 16.bxc3 16.Qxc3 Nxf3„ 16...Qc7 I didn’t want to debate whether or not Black has enough compensation. The important thing in a game would be to recognize that the exchange sacrifice is the only option to offer a fighting chance. However, it is worth mentioning 17.Bh6 Bxh6 18.Qxh6 Qb6+ 19.Ka1 Qa5 20.Qxh5 Be6 21.Nb3 Qxc3+ 22.Kb1 Rc8 23.Rg2 a5© as one critical line which should eventually lead to a draw.	Czerniak	Smyslov	Amsterdam (Ol)	1954	Czerniak – Smyslov, Amsterdam (Ol) 1954	65	65
53	priyome	public-education	rn1q1rk1/pbp1bppp/1p3n2/3p4/3P4/P1N1P1N1/1P2BPPP/R1BQK2R w KQ - 0 1	white	Nf5 Re8 Nxe7+	g3f5 f8e8 f5e7	10.Nf5! Before the bishop can retreat to f8. 10...Re8 11.Nxe7+² The knight looks nice, but after 11.0- 0?! Bf8= it will be kicked back by ...g7-g6. Therefore White should exchange on e7 and aim for a gradual exploitation of the bishop pair.	Fairhurst	Smyslov	Hastings	1955	Fairhurst – Smyslov, Hastings 1955	66	66
54	priyome	public-education	r1b2rk1/ppq2ppp/2n1pn2/2p5/3P4/P1PBPN2/5PPP/R1BQ1RK1 b - - 0 1	black	e5	e6e5	11...e5! Putting pressure on the d4-pawn before White has played e3-e4 (which would make d4-d5 possible). It is possible to start with 11...Rd8, but the rook move is less flexible. The rook may prove better on e8 to reinforce a possible ...e5-e4.	Furman	Spassky	Moscow	1955	Furman – Spassky, Moscow 1955	66	66
55	priyome	public-education	rnb2rk1/ppp1qppp/8/3p4/3P4/3BP3/PP3PPP/R2QK1NR b KQ - 0 1	black	c5 Nf3 Nc6 Bc2 Bg4 Qd2 Nxd4	c7c5 g1f3 b8c6 d3c2 c8g4 d1d2 c6d4	9...c5! Acting before White has castled. 9...Qg5? runs into 10.Nf3! Qxg2 11.Bxh7++– when capturing the bishop will lead to the loss of the black queen. 10.Ne2 10.dxc5 d4!ƒ 10...Nc6 More ambitious was: 10...c4 11.Bc2 Bg4 12.f3 Bh5 13.Qd2 Bg6³ With a third pair of minor pieces soon to be exchanged, Black’s queenside majority is more important than White’s central majority. 11.dxc5 d4 12.exd4 Nxd4=	Smyslov	Geller	Moscow	1955	Smyslov – Geller, Moscow 1955	67	67
56	priyome	public-education	r3r1k1/2qbbppp/pn1p1n2/1pp1p3/3PP3/1PP2N1P/P1B1QPP1/R1B1RNK1 w - - 0 1	white	dxe5 dxe5 c4 Bf8 N3d2	d4e5 d6e5 c3c4 e7f8 f3d2	16.dxe5 dxe5 17.c4! A standard reaction, preparing Nf1-e3-d5 while Black’s knights are far away from d417...Bc6 Holding back the intended knight manoeuvre, but not forever. The easiest way to prepare it is: 18.Bb2 Bf8 19.N3d2± Vasily Smyslov “The Ruy Lopez occupied a constant place in my opening repertoire. In it is reflected the classical interpretation of the problem of the centre.”	Smyslov	Ivkov	Zagreb	1955	Smyslov – Ivkov, Zagreb 1955	68	68
57	priyome	public-education	3rr1k1/2qb1pbp/p2p1np1/np2p3/3PP3/1P2NQ1P/PBBN1PP1/R3R1K1 b - - 0 1	black	Nc6 d5 Nd4 Qd1 Nxc2	a5c6 d4d5 c6d4 f3d1 d4c2	19...Nc6 There’s no time to wait. White threatened to keep the knight sidelined by means of d4-d5. 20.d5 Nd4 21.Qd1 Nxc2³	Fuderer	Smyslov	Zagreb	1955	Fuderer – Smyslov, Zagreb 1955	69	69
58	priyome	public-education	r4rk1/pb2bppp/1q2p1b1/4B3/2BP4/1P6/P3QPPP/3RR1K1 w - - 0 1	white	d5 exd5 Rf1 a6 h4 Bb4 Qb2	d4d5 e6d5 e1f1 a7a6 h2h4 e7b4 e2b2	21.d5! Exchanging the isolated pawn unleashes the full power of White’s bishops and heavy pieces. You don’t need to calculate further to make this decision, so consider the following variations supportive rather than necessary. 21...exd5 21...Bb4 gives White a choice: 22.dxe6!? (A simple alternative is 22.Rf1 exd5 23.Rxd5± when Rb5 is a threat, and after 23...a6 24.h4! White harasses the bishop.) 22...Bxe1 23.Rxe1 fxe6 24.Qb2± Black can’t save the g7-pawn, as 24...Rf7 is met by 25.Bxg7! anyway: 25...Rxg7 26.Rxe6+– 22.Rxd5± But not 22.Bxd5? Bb4 23.Rf1 Rfe8 24.Qb2 Bf8 when White can’t use the nice-looking bishop for anything useful.	Smyslov	Trifunovic	Zagreb	1955	Smyslov – Trifunovic, Zagreb 1955	69	69
59	priyome	public-education	r1b1rnk1/1pp1qppp/p1p5/4P3/3N4/P1Q3B1/1PP2PPP/3R1RK1 b - - 0 1	black	c5 f4 b6 f5 Bxf5	c6c5 f2f4 b7b6 f4f5 c8f5	17...c5! Chasing the knight before White’s f-pawn starts to run. 17...Bd7 is too slow: 18.f4 c5 19.Nb3 b6 20.f5+– 18.Nf3 After 18.Nb3 b6 19.f4 Bf5= Black is in time to block the pawns. 18...b6!=	Karaklajic	Smyslov	Zagreb	1955	Karaklajic – Smyslov, Zagreb 1955	70	70
60	priyome	public-education	2rr2k1/pn2qp1p/4b1p1/2pp4/8/6P1/PPNQPPBP/2RR2K1 w - - 0 1	white	b4 d4 Bd5 Nd6 bxc5 Rxc5 Nxd4	b2b4 d5d4 g2d5 b7d6 b4c5 c8c5 c2d4	21.b4! Splitting the hanging-pawns couple and gaining access to the d4-square. 21.Ne3 d4 22.Nc4 Bd5= 21...Nd6 21...c4±; 21...cxb4 22.Nxb4± 22.bxc5 Rxc5 23.Nd4²	Spassky	Ravinsky	Leningrad	1957	Spassky – Ravinsky, Leningrad 1957	71	71
61	priyome	public-education	rnbqkbnr/pp4pp/2p1p3/3p1p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 1	white	Bf4	c1f4	5.Bf4 If Black goes for the Stonewall before e2-e3 or g2-g3 has been played, White should take the chance to develop the bishops more actively. The bishop on f4 is in contact with the weak e5-square. White will follow up with e2-e3, including against ...Bd6, as the exf4 structure is excellent for White. Notice that the other bishop should avoid g2, where it would be obstructed by the well-defended d5- pawn. A possible set-up is e2-e3, Qc2, Bd3, 0-0-0 and g2-g4.	Taimanov	Spassky	Moscow	1957	Taimanov – Spassky, Moscow 1957	71	71
62	priyome	public-education	2r2rk1/p2qn1pp/1p2p3/n2pPp1P/3P1N2/P2PB1Q1/5PP1/R3K2R w KQ - 0 1	white	h6 g6 O-O	h5h6 g7g6 e1g1	18.h6! g6 19.0-0± Black is eternally weak on the dark squares.	Smyslov	Botvinnik	Moscow (14)	1957	Smyslov – Botvinnik, Moscow (14) 1957	72	72
63	priyome	public-education	r1b1qrk1/2p3bp/p2p1n2/3Ppp1n/2B5/2N1BP1P/PPQ1N1P1/2K1R2R b - - 0 1	black	f4 g4 Qg6 Kb1	f5f4 g2g4 e8g6 c1b1	16...f4!= Giving up the e4-square is a small price to keep the kingside closed. 16...Qf7? 17.g4+– opened up Black’s king in the game. 16...Qg6?! 17.g4 Bh6 also opens Black’s kingside: 18.Bxh6 Qxh6+ 19.Kb1 Nf4? 20.g5!+–	Tal	Dittmann	Reykjavik	1957	Tal – Dittmann, Reykjavik 1957	73	73
64	priyome	public-education	r3qrk1/2nn1pbp/p2p2p1/1ppPp1B1/2P1PP2/1PNQ4/P2N2PP/4RRK1 b - - 0 1	black	f5 Bh4 b4 Nb5 Nxb5 Ra1 g5	f7f5 g5h4 b5b4 c3b5 c7b5 e1a1 g6g5	Black’s last move was 15...e5, so the question is whether or not to capture en passant. 16.f5! Preventing Black from exchanging on f4, which would open the g7-bishop’s diagonal and take control over the e5-square. According to Stockfish, 16.dxe6 Nxe6 17.Bh4 is almost equally good, but to me it feels strange to give Black access to the d4-square. 16...f6 17.Be3 b4 The game continued: 17...g5 18.cxb5 axb5 19.Nxb5 Nxb5 20.Qxb5 Rxa2 21.Ra1+– 18.Na4 g5± White will gradually prepare to open a kingside file. Having more space means that it’s easier to manoeuvre the pieces towards the kingside.	Petrosian	Taimanov	Leningrad	1959	Petrosian – Taimanov, Leningrad 1959	73	73
65	priyome	public-education	rnbq1rk1/1p3pbp/p2p1np1/2pP4/P3P3/2NB1N2/1P3PPP/R1BQ1RK1 b - - 0 1	black	Bg4 h3 Bxf3 Qxf3 Nbd7 Bf4 Qc7 Qe2 Rfe8 Bh2 Rac8	c8g4 h2h3 g4f3 d1f3 b8d7 c1f4 d8c7 f3e2 f8e8 f4h2 a8c8	10...Bg4! Black has two minor pieces that can be developed to d7, so it’s wise to get rid of one of them. 11.h3 Bxf3 12.Qxf3 Nbd7 Threatening another piece exchange in Black’s favour. 13.Bf4 Qc7 14.Qe2 Rfe8 15.Bh2 Rac8=	Donner	Tal	Zurich	1959	Donner – Tal, Zurich 1959	74	74
66	priyome	public-education	r1bqnrk1/pp1n2bp/2pp2p1/4pp2/2PPP3/2N1BN2/PP3PPP/R2QRBK1 w - - 0 1	white	exf5 gxf5 dxe5 Nxe5 Bc5 Rf7 Nxe5	e4f5 g6f5 d4e5 d7e5 e3c5 f8f7 f3e5	If Black pushes ...f7-f5 before White has closed the centre, the normal reaction is to capture twice. 12.exf5 12.dxe5?! Nxe5 allows Black to take back on f5 with the bishop. 12...gxf5 13.dxe5 Nxe5± The Black structure is not harmonious; the pawn on f5 is a long-term weakness without any real redeeming features. 13...dxe5 14.Bc5 wins material, and it’s no surprise that Black is busted. 14...Rf7? 15.Nxe5 is the main point, exploiting the pin on the d-file.	Spassky	Lutikov	Tbilisi	1959	Spassky – Lutikov, Tbilisi 1959	75	75
67	priyome	public-education	r3r1k1/1pqn1pb1/p2p1npp/2pP4/P3PB2/2N2B1P/1PQ2PP1/R3R1K1 b - - 0 1	black	c4 Be2 Rac8 e5	c5c4 f3e2 a8c8 e4e5	16...c4! Tal demonstrates his own saying that Black has to be active in the Benoni – even if it’s not possible. On this occasion, it is. Preparing ...c5-c4 with 16...Rac8 also works, but there is no reason to delay the advance. 17.Be2 Rac8„ Keeping the knight flexible before deciding whether it will go to e5 or to c5. Mikhail Tal “I believe most definitely that one must not only grapple with the problems on the board – one must also make every effort to combat the thoughts and will of the opponent.”	Geller	Tal	Tbilisi	1959	Geller – Tal, Tbilisi 1959	75	75
68	priyome	public-education	r2qr1k1/ppn2pb1/3p1n1p/2pP2p1/4P1b1/P1N2NB1/1PQ1BPPP/R2R2K1 b - - 0 1	black	Nh5 Nd2 Bxe2 Nxe2 Nb5 Nb3	f6h5 f3d2 g4e2 c3e2 c7b5 d2b3	15...Nh5 Having weakened the kingside with ...g6-g5, Black should hunt down the g3-bishop before White creates an escape square on h2. 16.Nd2! 16.h3?! was played in the game. 16...Bxe2 17.Nxe2 White is ready to recapture on g3 with the knight, targeting the weak f5-square. Black should therefore switch to a different plan for the time being. 17...Nb5!? 18.Nb3!?„ With mutual chances.	Klasups	Tal	Riga (Ol)	1959	Klasups – Tal, Riga (Ol) 1959	76	76
69	priyome	public-education	r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/1PP1P3/2N2NP1/P4PBP/R1BQ1RK1 w - - 0 1	white	Ng5 Nf6 a4 a5 b5	f3g5 d7f6 a2a4 a7a5 b4b5	11.Ng5! In an effort to save time, Black elected not to prepare ...f7-f5 with ...h7-h6. The consequence is being forced to part with the light-squared bishop, while opening the long diagonal for White’s bishop. 11...Nf6 12.a4!? Stockfish’s suggestion. 12.Ba3 was played in the game, but it’s a bit early to determine if the bishop will have a good future on this square. 12.Ne6 is possible straight away, but why not wait for Black to spend a tempo on ...h7-h6? 12...a5 13.b5± The knight will jump to e6 soon, and Black will have obvious problems on the light squares.	Najdorf	Fischer	Mar del Plata	1959	Najdorf – Fischer, Mar del Plata 1959	77	77
70	priyome	public-education	r1b2rk1/pp2qpbp/2p3p1/2n1p2n/2P1P3/2N1BP2/PP1QN1PP/1B1R1RK1 b - - 0 1	black	Ne6 Qd6 Re8 c5 Qxd6 g3	c5e6 d2d6 f8e8 c4c5 e7d6 g2g3	13...Ne6 Putting the knight on its best square. The sacrifice 14...Nhf4 is in the air. 13...a5?! 14.Qd6² favours White. 13...Re8!? is a good alternative. Black begins to redirect the bishop towards c5, and if 14.Qd6 Bf8= Black is fine. Botvinnik should probably have played 14.g3 when Black has some dynamic potential, but nothing more. The game went 14.Qe1 and Black was comfortable. 14.Qd6?! Qf6!³ shows another advantage of Black’s 13th move.	Botvinnik	Tal	Moscow (17)	1961	Botvinnik – Tal, Moscow (17) 1961	77	77
71	priyome	public-education	r4rk1/pppqppbp/1n4p1/3P4/4P3/1QN1BP2/PP3P1P/2KR3R w - - 0 1	white	h4 h5	h2h4 h7h5	17.h4 Preparing h4-h5 followed by opening the h-file, or perhaps h5-h6 in some cases. 17...h5 Preventing the above plan but also making a concession, as Black’s king is less secure. There is no need to think any deeper before deciding on 17.h4.	Petrosian	Botvinnik	Moscow (15)	1963	Petrosian – Botvinnik, Moscow (15) 1963	78	78
72	priyome	public-education	r1bqn1k1/ppp2rb1/3p2np/PPPPp1p1/2N1Pp2/B1N2P2/4B1PP/R2Q1RK1 w - - 0 1	white	b6 axb6 cxb6 cxb6 a6 Bf8 Nb5	b5b6 a7b6 c5b6 c7b6 a5a6 g7f8 c3b5	18.b6! The standard way of opening lines on the queenside. Black can’t avoid exchanging two pawns. By the way, the same move normally gives a huge initiative even with the a-pawn still on a4. 18...axb6 18...cxb6 is met by 19.axb6, as 19.cxb6 a6 unnecessarily gives Black some time before White breaks through. 19.axb6 cxb6 White has succeeded in undermining Black’s central pawn chain, and there are many good ways to proceed. 20.Nxb6 20.cxd6 Bf8 is good for White, but the game continuation is better. 20...Rb8 21.Nb5 Bf8 22.Na7 Smyslov held on to his advantage until (according to the database) a draw was surprisingly agreed on move 28. Better is 22.Qc2 to bring the rook from f1 to the queenside.	Smyslov	Ciocaltea	Sochi	1963	Smyslov – Ciocaltea, Sochi 1963	79	79
73	priyome	public-education	r1bqk2r/pp2bppp/2n1pn2/3p4/2PP4/P1N2N2/1P3PPP/R1BQKB1R w KQkq - 0 1	white	c5 b6 Bb5 a5	c4c5 b7b6 f1b5 a7a5	8.c5! A strong move with Black’s knight on c6. The reason is that the consistent follow-up b2-b4 also prepares to attack the knight. 8...b6?! is a typical retort but it doesn’t work here due to: 9.Bb5² Threatening the misplaced knight on c6. 9.b4 is also possible, and if 9...a5? 10.b5+– White once again exploits the misplaced knight.	Petrosian	Olafsson	Los Angeles	1963	Petrosian – Olafsson, Los Angeles 1963	80	80
74	priyome	public-education	r1bqk2r/pp2ppbp/1nnp2p1/6B1/2PP4/2N5/PP3PPP/2RQKBNR w Kkq - 0 1	white	d5 Bg4 Be3 e5 Be2 O-O b3	d4d5 c8g4 g5e3 e7e5 f1e2 e8g8 b2b3	9.d5! It is important to play this advance before Black gets time for ...e7-e5 or ...d6-d5. (White should play the same move even if the pawn was defended by a bishop on e3.) 9.Nf3 Bg4ƒ; 9.Be3 e5„ 9...Ne5 10.Be2 Capturing on c4 runs into an embarrassing check. (I have tried!) Starting with 10.b3 is also fine. 10...0-0 11.b3±	Petrosian	Dreyer	Tel Aviv (Ol)	1964	Petrosian – Dreyer, Tel Aviv (Ol) 1964	80	80
